App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Google Photos,"Out photo I've used I enjoy features most. The features automatically create colleges, show photos, create animations photos videos, create stories movies music, list goes on. I appreciate this, especially I'm busy myself! The issue I really limited options adjusting photos myself. The options initially come photo editing leave little desired. Overall exactly I want keep photos safe cloud, pull enjoy manipulate whenever I like :)",Positive,0.2310064935064935,0.4084415584415584
Google Photos,"I installed ""Google Photos"" IOS devices Samsung tablet idea automatically would sync pics IOS devices Samsung tablet visa versa. Photos actually uploaded Samsung tablet stored app, photos stored IOS devices seen Samsung sung tablet. What bummer! I deleting since I interested capability syncing photos across devices. The install Google Photos IOS devices Samsung tablet communicate.",Positive,0.125,0.3
Google Photos,Best option I've seen photo organization Android. I wish possible sort based file size photo original size optimized. Easier sorting would also nice us thousands photos still need chronological order. The scroll speed allow control. As I start scrolling days suddenly I'm skipping years. It's also shame Snapseed controls built-jn Google Photos (perhaps advanced option). This also needs show patch notes know changed release.,Positive,0.3392857142857143,0.5928571428571427
Google Photos,"Google Photos automatically converted photos original quality so-called ""high quality"". It automatically without asking me, quota filled up. This OK. I permanently lost original quality photos, way get back. Only Google Photos OK compressed photos mind losing original quality photos. (Also, quota storage taken often accurate takes days update itself.)",Positive,0.3085,0.6323333333333333
Google Photos,"Enjoying much. Would give 5 stars way create secret album. All I right archive photos videos, secret enough guys. Also, automatically create camera videos folder. It create folder whatsapp videos, want watch hand made videos, need surf photos. Would nice that.",Positive,0.1122448979591836,0.6051020408163266
Google Photos,Its great alot issues. You able organize order albums. Sometimes search something show up. You able change title photos videos seems like simple tool already have. There alot ways organize photos videos. Please add feature change titles videos I reupload proper names I want correct title really inconvenient,Positive,0.2,0.5761904761904763
Google Photos,"back I know love. No crashing, easy backup sync.. I assistant help turned problem. It seemed overloaded Mercari stuff videos old I dont remember",Positive,0.2583333333333333,0.4083333333333333
Google Photos,"This great photo gallery app. You back photos Google never get lost. You view phone computer. It also software categorize photos search function. Say want find pictures sunsets, type ""sunset"" search bar pull up.",Positive,0.4,0.375
Google Photos,"This must top 5 anyone Smartphone. Takes away worry backup, allows search share easily. Really miss facial recognition MUST capable (Picassa managed years ago). Would also nice could arrange date taken, rather date uploaded. Still *****",Positive,0.3,0.42
Google Photos,"I love intuitive Google sends personalized movies. It kids first day school last week time Google made movie slideshow titled ""they gorw fast"" taking pictures way back since little. It sweet sold app. 5 stars.",Positive,0.1589285714285714,0.3928571428571428
Google Photos,"Sharing needs granular control. Why way prevent somebody seeing album block across *all* Google products? That's unnecessary, I want people access pics, I want continue contacting elsewhere.",Negative,-0.4,0.9
Google Photos,"Never knew capabilites this. Discovered love it. Its great turning pictures animations, movies, collages books. Love see photos multiple devices simply transferring tablet phones. People keep asking im making animations lime me, thry idea google photos functions.",Positive,0.36,0.4614285714285714
Google Photos,"Right, I went swimming I got back data warning saying I 100mbs left. So I looked device said Google photos used 652mbs data. For may alot I get gigabyte month!",Positive,0.0952380952380952,0.1785714285714285
Google Photos,"I'm hard time Photos I'm getting really pissed. Everytime people send pictures videos, Photos detects another date move date instead leaving date I got them. I never problem Photos now. Please fix it, annoying keep searching (pictures videos) another date.",Negative,-0.2972222222222222,0.5472222222222222
Google Photos,"I love camera features. I would like see Google make could make fun photos writing/typing things like that. I Google Pixel 2 XL take pictures lot class. It would nice label phone and/or laptop right Google Photos. I label microsoft program makes able keep Google photo drive impossible. I 2 copies everything talking space. Google, please help! That's think stopping perfect photo app.",Positive,0.3360544217687074,0.7086734693877551
